Fx,Fy,FzTx,Ty,Tz
-0.00543677,-0.00034362,0.00354961,0.01139,-0.00822544,-0.0044989
-0.00330209,0.000769676,0.00176576,-0.0273216,0.00962734,0.0100885
0.000787389,0.000508727,-0.00166222,-0.0216796,0.0426474,0.0108133
-0.00102078,-0.00281328,-0.00654837,-0.0896118,-0.0362253,-0.0365576
-0.00431381,0.00260395,-0.00477549,-0.041333,0.00374889,-0.0364203
-0.00480329,0.00209969,-0.0160193,-0.163274,0.0470419,0.0998026
-0.00195609,0.0014686,-0.00558039,-0.0921142,-0.0115824,0.0785471
-0.00408314,0.00253779,-0.00703856,-0.113759,0.0724859,0.047793
-0.000344622,3.39162e-05,0.0091348,-0.053025,0.00719738,-0.056394
-0.00427781,-0.00204056,0.00352243,-0.0201805,-0.0592318,-0.00425476
-0.00128268,0.000691475,0.00238183,-0.0733078,-0.00092411,-0.0746054
-0.00113188,0.00201541,-0.00207993,-0.0159309,-0.0295534,0.0671411
-0.00417756,0.005063,-0.00382754,-0.0521553,0.0198889,0.0789362
0.00277687,-0.000854789,0.00422195,-0.10059,0.0732718,-0.0861945
-0.00427161,-0.0011391,-0.00133511,-0.0872467,0.0691214,-0.0358481
-0.00123535,0.000572027,-0.0013313,-0.073117,0.0545454,-0.0335822
-0.00121485,0.00178248,-0.00830504,-0.0402839,0.0414152,-0.0221838
0.00102855,0.000899733,-0.00341555,-0.0666206,-0.0990229,0.0100961
0.00387515,-0.0011757,0.00372842,-0.0271804,-0.0609293,-0.0277686
-0.00415193,0.00138968,-0.0066733,-0.0958526,0.0292807,-0.00930542
-0.00301193,-0.00251084,-0.00204846,-0.0433586,-0.10983,0.0508676
-0.00322639,0.00065452,-0.00883004,-0.000927696,0.0503531,0.0479913
-0.00115286,0.00424665,-0.0101971,-0.0503624,0.0302,0.00593048
-0.00506841,0.000767649,-0.014256,-0.0502517,0.0604162,0.0867944
-0.00195204,-0.000965534,-0.00399062,-0.0816734,-0.000992775,0.0932642
-0.00510727,0.00085205,-0.0074,-0.0515411,0.0329351,0.0901819
-0.00269376,-0.00267106,-0.0163183,-0.113099,-0.0141764,0.129206
-0.00512503,0.000812353,-0.0122475,-0.0505264,0.033,0.0448633
-0.00310646,-0.00276476,-0.00686213,-0.0439956,-0.0250406,0.00530487
0.000635874,0.000519575,0.00753168,-0.0485275,0.0306005,-0.0708289
0.00088383,0.000709237,3.67498e-05,-0.0448425,-0.0279016,0.0116983
-0.00129639,-0.00410968,0.00694612,-0.00380016,-0.00816441,-0.00112671
-0.00516044,0.00551373,-0.0102248,-0.122609,0.0968504,0.0173669
-0.000411975,0.000167192,0.0111165,-0.0283935,-0.0624475,-0.0980658
-0.00416468,0.0015319,-0.00358435,-0.0471428,-0.0271807,0.0356317
0.000670207,-0.000629364,0.00385431,-0.00516201,6.67572e-06,-0.0438055
-0.00316011,0.00323147,-0.00495574,-0.0845382,-0.00180149,-0.00739807
0.00106515,-0.00396448,-0.00711819,-0.0195358,-0.0925989,0.0364099
-0.00513648,0.00333852,-0.00666043,-0.110795,-0.00470066,-0.00959534
-0.00305401,0.00301367,-0.013793,-0.107877,0.0953245,0.030871
-0.00309561,0.00198013,-0.00687357,-0.0908973,0.0240011,0.0200067
-0.00339459,0.00663072,-0.00147101,-0.0432251,0.0747976,-0.00506348
-0.00296758,-0.000359236,-0.00903079,-0.0786064,0.00533199,0.0759912
-0.00218045,0.00360757,-0.00512215,-0.0812423,0.0776396,0.0216699
-0.00104581,-0.000474988,-0.00843379,-0.0764358,-0.0049448,-0.00842041
-0.00120329,0.00180358,-0.00971505,-0.0639923,0.0276022,-0.0659613
-0.000314462,0.000204386,0.0111361,-0.0765579,-0.0627222,-0.0983557
-0.00113629,0.00300521,-0.00696465,-0.0581024,0.056571,0.0358148
-0.00175713,3.63708e-06,-0.0232186,-0.0956047,0.0966101,0.1411
-0.00214146,-0.00220507,0.00732854,-0.140336,0.000159264,-0.0451025
-0.00107728,-0.00048226,-0.0087566,-0.027909,-0.00530338,0.0347162
-0.000175345,0.00238997,-0.00303265,-0.0852401,0.0370626,-0.0335211
-9.22561e-05,0.00240284,-0.00880763,-0.0349586,0.0355024,0.0499673
-0.000329363,-0.00126439,0.0020471,-0.00983883,0.0327063,-0.0311865
-0.00321208,0.00179368,-0.0103044,-0.0429161,0.0803747,0.0184808
-0.00708197,-0.000539004,-0.0155148,-0.133317,0.140983,0.0267053
-0.00545,0.00201601,0.000253711,0.000853767,0.00924206,-0.0201315
-0.00224744,0.00235325,0.00388626,-0.139256,0.105575,-0.0319189
0.00306834,-0.00512844,-0.00191161,0.000270119,-0.147408,0.0259042
-0.000829446,0.0019818,-0.0123148,-0.134393,0.0109854,0.0613428
0.000575316,0.00272578,0.00770763,-0.0854461,0.118911,-0.0851569
-0.00175749,-0.00433713,-0.0109396,-0.0733497,-0.105927,0.0896478
-0.00308846,-0.00272506,-0.00201365,-0.0450065,-0.0251017,0.0506235
-0.00139867,-0.000610052,0.00621942,-0.081784,0.0267134,-0.130392
-0.00429379,-0.00107187,4.81939e-05,-0.0386283,0.0407095,0.00818115
-0.00322329,0.000657619,-0.0016255,-0.0756576,0.0654554,0.00798279
-0.00195109,-0.0008561,-0.00542733,-0.0804718,-0.0570345,0.0497614
-0.00321494,-0.0016635,0.00573257,-0.138749,0.0351019,-0.0607962
-0.00222014,-0.00231296,-0.00128027,-0.0660637,0.0137396,-0.0488409
0.00187947,0.0105106,-0.0321874,-0.466252,0.00881863,-0.0193228
-0.0149195,-0.0241482,0.0271187,2.21516,-0.578042,0.372706
-0.0056424,-0.0238616,0.0772448,2.60464,-0.316224,0.104769
-0.00927817,-0.0352101,0.086155,3.50466,-0.316415,0.240565
-0.00617455,-0.0398185,0.109533,4.52182,-0.52691,0.275485
-0.00707363,-0.0392453,0.0959239,4.50284,-0.507546,0.253878
-0.016226,-0.0644155,0.112783,5.46459,-1.14503,0.418116
-0.0123243,-0.0493043,0.122817,5.21041,-0.945336,0.268305
-0.0199169,-0.0520121,0.137394,5.69185,-1.543,0.33243
-0.024121,-0.0490569,0.17421,5.52242,-1.63884,0.247164
-0.0257918,-0.0638055,0.165468,6.2429,-1.92318,0.431323
-0.0155672,-0.0474949,0.0872465,5.37319,-1.63313,0.380602
-0.0243964,-0.0455436,0.0719605,5.17973,-1.49652,0.366435
-0.013743,-0.0379165,0.0834751,4.65157,-1.20302,0.260775
-0.0141744,-0.038356,0.0687871,4.5311,-1.18835,0.395426
-0.0128727,-0.0400935,0.0763336,4.30322,-1.18194,0.311984
-0.0115095,-0.0380324,0.0867186,4.09577,-1.22743,0.316767
-0.0139508,-0.0340137,0.0772262,3.87529,-1.54525,0.195803
-0.0143828,-0.0284114,0.0474358,3.16177,-1.65944,0.0622659
-0.0164117,-0.0262892,0.0247097,2.78808,-1.61706,0.133257
-0.0152602,-0.0178258,0.00784496,2.18521,-1.45475,0.13663
-0.0131422,-0.0124195,0.0191641,1.85006,-1.16007,0.0411096
-0.0104971,-0.0176164,0.0030084,1.65936,-0.971471,0.146578
-0.00755285,-0.011444,0.0149536,1.40278,-0.806848,-0.0473456
-0.0087689,-0.00396246,-0.00289914,1.10699,-0.761811,0.0709863
-0.00975405,-0.00735503,0.0521775,0.927661,-0.98269,0.0672021
-0.0106556,-0.00406676,0.0813775,0.718311,-0.984693,0.0942712
-0.0169642,-0.00321418,0.110774,0.730678,-1.21436,0.0626093
-0.0205136,-0.0032658,0.0960446,0.803264,-1.60537,0.169039
-0.0380808,-0.00825637,0.145501,1.07899,-2.49971,0.156977
-0.0193823,-0.00248331,0.208681,0.487216,-1.32032,0.107577
-0.0263214,0.00139672,0.244721,0.246246,-1.4424,0.134463
-0.018218,0.00738222,0.295304,-0.281953,-0.895696,0.117175
-0.0220395,0.00629944,0.391361,-0.294286,-1.05394,0.161921
-0.0233037,0.023534,0.490599,-0.569436,-0.592149,0.0810266
-0.0214395,0.0165078,0.58083,-0.532555,-0.465798,-0.0180029
-0.0295735,0.0201829,0.619112,-0.509473,-0.766801,0.154673
-0.0275861,0.0237445,0.684081,-0.553574,-0.542325,0.0014978
-0.0275668,0.0218964,0.705877,-0.520085,-0.741761,0.0697275
-0.0311867,0.0247913,0.758026,-0.645524,-0.586747,0.0207849
